	IDCollege	Periode	College	VolgnummerBasiscollege	Basis	Id
0	7	1	Gecommitteerde Raden van Holland in het Zuiderkwartier (1590-1795)	0.0	0	8
1	8	1	Gecommitteerde Raden van Holland in het Noorderkwartier (1573-1795)	0.0	0	9
2	9	1	Rekenkamer ter Auditie van Holland in het Zuiderkwartier (1590-1752)	0.0	0	10
3	10	1	Rekenkamer ter Auditie van Holland in het Noorderkwartier (1590-1752)	0.0	0	11
4	11	1	Provinciale Rekenkamer van Holland (1752-1795)	0.0	0	12
5	12	1	Hoge Raad van Holland en Zeeland (1582-1795)	0.0	0	13
6	13	1	Hof van Holland, Zeeland en West-Friesland (1428-1802)	0.0	0	14
7	14	1	Gecommitteerde Raden van Zeeland (1578-1795)	0.0	0	15
8	15	1	Provinciale Rekenkamer van Zeeland (1596-1795)	0.0	0	16
9	19	1	Gedeputeerde Staten van Friesland (1577-1795)	0.0	0	22
10	20	1	Provinciale Rekenkamer van Friesland (1582-1795)	0.0	0	23
11	21	1	Hof van Friesland (1499-1811)	0.0	0	24
12	22	1	Gedeputeerde Staten van Overijssel (1591-1795)	0.0	0	25
13	26	1	Staten van Holland (1572-1795)	0.0	0	29
14	27	1	Staten-Generaal der Verenigde Nederlandse ProvinciÃ«n (1588-1796)	0.0	0	30
15	28	1	Raad van State (1588-1795)	0.0	0	31
16	29	1	Generaliteitsrekenkamer (1608-1799)	0.0	0	32
17	30	1	Admiraliteit op de Maze (1586-1795)	0.0	0	33
18	31	1	Admiraliteit te Amsterdam (1586-1795)	0.0	0	34
19	32	1	Admiraliteit in Zeeland (1584-1795)	0.0	0	35
20	33	1	Admiraliteit in het Noorderkwartier (1589-1795)	0.0	0	36
21	34	1	Admiraliteit in Friesland (1596-1795)	0.0	0	37
22	35	1	VOC ter Kamer Amsterdam	0.0	0	38
23	36	1	VOC ter Kamer Zeeland	0.0	0	39
24	37	1	VOC ter Kamer Delft	0.0	0	40
25	38	1	VOC ter Kamer Rotterdam	0.0	0	41
26	39	1	VOC ter Kamer Hoorn	0.0	0	42
27	40	1	VOC ter Kamer Enkhuizen	0.0	0	43
28	41	1	WIC ter Kamer Amsterdam	0.0	0	44
29	42	1	WIC ter Kamer Zeeland	0.0	0	45
30	43	1	WIC ter Kamer op de Maze	0.0	0	46
31	44	1	WIC ter Kamer van het Noorderkwartier	0.0	0	47
32	45	1	WIC ter Kamer Stad en Lande	0.0	0	48
33	46	1	Raad van Brabant (1591-1795)	0.0	0	49
34	47	1	Raad van Vlaanderen te Middelburg (1599-1795)	0.0	0	50
35	49	1	Staten van Zeeland (1578-1795)	0.0	0	52
36	51	1	Staten van Friesland	0.0	0	54
37	52	1	Staten van Overijssel	0.0	0	55
38	54	1	Ridderschap van het Kwartier Nijmegen		1	1
39	55	1	Ridderschap van het Graafschap Zutphen		1	2
